Longitude,Latitude,Temperature,Max_Temperature,Min_Temperature,Transpiration,Wind_Speed,Humidity,Crop,Plant_Month,Growing_Duration
-120.5,37.0,26.808557128906273,43.6953063964844,12.069482421875023,2.5505344183329726e-06,3.8906052112579346,0.006611981429159641,BARLEY,11.0,6.0
-120.48876404494382,37.0,26.808557128906273,43.6953063964844,12.069482421875023,2.5505344183329726e-06,3.8906052112579346,0.006611981429159641,BARLEY,11.0,6.0
-120.47752808988764,37.0,26.808557128906273,43.6953063964844,12.069482421875023,2.5505344183329726e-06,3.8906052112579346,0.006611981429159641,BARLEY,11.0,6.0
-120.46629213483146,37.0,26.808557128906273,43.6953063964844,12.069482421875023,2.5505344183329726e-06,3.8906052112579346,0.006611981429159641,BARLEY,11.0,6.0
-120.45505617977528,37.0,26.808557128906273,43.6953063964844,12.069482421875023,2.5505344183329726e-06,3.8906052112579346,0.006611981429159641,BARLEY,11.0,6.0
-120.4438202247191,37.0,26.808557128906273,43.6953063964844,12.069482421875023,2.5505344183329726e-06,3.8906052112579346,0.006611981429159641,BARLEY,11.0,6.0
-120.43258426966293,37.0,26.808557128906273,43.6953063964844,12.069482421875023,2.5505344183329726e-06,3.8906052112579346,0.006611981429159641,BARLEY,11.0,6.0
-120.42134831460675,37.0,26.808557128906273,43.6953063964844,12.069482421875023,2.5505344183329726e-06,3.8906052112579346,0.006611981429159641,,,
-120.41011235955057,37.0,26.808557128906273,43.6953063964844,12.069482421875023,2.5505344183329726e-06,3.8906052112579346,0.006611981429159641,BARLEY,11.0,6.0
-120.39887640449439,37.0,26.808557128906273,43.6953063964844,12.069482421875023,2.5505344183329726e-06,3.8906052112579346,0.006611981429159641,,,
-120.38764044943821,37.0,26.808557128906273,43.6953063964844,12.069482421875023,2.5505344183329726e-06,3.8906052112579346,0.006611981429159641,,,
-120.37640449438203,37.0,26.808557128906273,43.6953063964844,12.069482421875023,2.5505344183329726e-06,3.8906052112579346,0.006611981429159641,,,
-120.36516853932584,37.0,26.808557128906273,43.6953063964844,12.069482421875023,2.5505344183329726e-06,3.8906052112579346,0.006611981429159641,BARLEY,11.0,6.0
-120.35393258426966,37.0,26.808557128906273,43.6953063964844,12.069482421875023,2.5505344183329726e-06,3.8906052112579346,0.006611981429159641,BARLEY,11.0,6.0
